 PROGRAM NAME:PMSW8 V8.0b5 @ Aug 28 2022 18:16:07   RUN TIME:04:30:26 12-OCT-2022    INPUT FILE:/Documents/LZ/SO_LZ_G029_20220101_V01.DAT1
 Averaged over 30 readouts                                                          OUTPUT FILE:/Users/selasley//tmp/pmsw.dat

 FILE HEADER:
   SC_ID           =             21
   FIRST_EPOCH     = 2019692510.095
   FIRST_TIME      =  2022    1   1  41  50. 94726      2022   1   1   1  41  50. 94726
   LAST_TIME       =  2022    1  23  50  29.735838      2022   1   1  23  50  29.735838
   NUM_PACKETS     =          15090
   RECEIPT_EPOCH   = 2019787391.000
   RECEIPT_TIME    =  2022    2   4   3  11.  0  0      2022   1   2   4   3  11.  0  0
 NPARAMS=30
 FORMAT=(I2.2,1X,I3.3,1H:,I2.2,1H:,I2.2,1H:,I2.2,F7.1,F8.3,F7.2,F7.2,F5.0,2F6.2,2F7.1,2F7.2,2F7.2,F5.1,F8.2,F8.0,F8.0,F7.1,F6.1,2F6.1,F5.0,F3.0,F6.2,F4.0,F3.0)
Dens, Dens_f and Dens_m have the pmsw2008 corrections
VSW has the initial pmsw2008 correction (no radius correction)
Vsw3 = Chi sq averaged Vsw, but without speed correction
Vsw4 = Uncorrected Vsw from moment technique
Vth3 = Chi sq averaged Vth, but without speed correction or power law Vth correction
Vth4 = Uncorrected Vth from moment technique
Chi2 = Sum of Chi**2 for all 6 rates; df=5; PCHI5 used for Chi2<20;  P(.5)=.99  P(4.4)=.5  P(15)=.01  P(20)=.001
ANGLE = arrival direction in degrees (generally N/S, with + meaning FROM the south)
V_He = predicted He speed based on Vsw, Dens, and Vth
N/S = average theta bin after excluding bins 0 and 19
PM_Min and PM_Max are corrected for deadtime and quantization error
PM_Max is the maximum of the averages, not the average of maxima. PM_Min is the minimum of the averages.
The R column indicates the SOHO roll status from the file nominal_roll_attitude.dat.  1 = roll 180, 0 = roll 0.
Background is PMMIN_DTQ - SIGMA, where SIGMA =  quad. sum of quant. step and PMMIN/#readouts
Minimum background-subtracted rate is SIGMA
For dippers, uses average of 90% and original, average of 60% and original, ...
Assumes that He/H ratio is 0.04
MX/MN = PM_Max / PM_MIN, CH2 = chisq of pm_rate_dtq_bk
M = PMMAX < 500 and ( (MX/MN < 2.0) or (Dens < 0.05) )
Times indicated are start times in UTC

YY DOY:HR:MN:SS   Vsw    Dens    Vth   ANGLE V_He   N/S   Sig  Vsw_f  Vsw_m  Dens_f Dens_m Vth_f  Vth_m Msw     Chi2  PM_Min  PM_Max  Vsw3  Vsw4   Vth3  Vth4 #Pos  R MX/MN CH2  M
22 001:01:41:54  464.3   2.791  33.23  -3.71  476  4.76  3.51  433.6  431.1   2.82   2.75  34.26  33.21 14.3    1.00     130   12760  443.4 438.6  31.2  34.9    8  0 98.15  99  0
22 001:01:57:03  457.8   1.935  34.47  -3.43  471  4.87  3.59  431.3  428.5   1.95   1.91  34.23  34.59 11.4    0.83     112    6998  435.4 432.2  38.4  36.3    8  0 62.48  99  0
22 001:02:12:08  475.3   1.867  40.98  -1.34  495  6.19  4.08  440.7  448.8   1.81   1.89  38.88  41.43  8.1   33.23     137    7483  434.5 449.6  54.1  45.0   16  0 54.62  99  0
22 001:02:27:17  475.7   2.112  37.32  -0.86  491  6.58  4.11  441.7  446.9   2.08   2.12  35.97  37.68 12.3    9.55     141    8949  449.2 453.9  36.7  40.6    9  0 63.47  99  0
22 001:02:42:22  499.5   2.012  41.15  -0.20  519  7.14  4.15  456.4  466.4   1.96   2.03  37.24  41.45 13.7   46.49     142   10471  461.1 474.9  34.1  43.2   24  0 73.74  99  0
22 001:02:57:31  497.6   2.081  42.80  -0.70  519  6.71  4.18  460.3  465.0   1.98   2.12  39.87  43.14  9.3   48.78     200   10391  458.6 472.3  49.9  45.5   30  0 51.96  99  0
22 001:03:12:35  484.6   2.027  45.38  -1.40  509  6.14  4.14  445.5  454.1   1.95   2.06  43.39  45.85  6.5   66.06     140    8425  426.6 451.1  66.0  47.6   33  0 60.18  99  0
22 001:03:27:40  483.9   2.148  47.31  -2.10  510  5.66  3.85  440.7  451.9   2.06   2.18  44.36  47.83  6.1  103.80     136    8478  416.6 445.5  68.5  47.9   45  0 62.34  99  0
22 001:10:14:10  525.6   0.809  51.15  -0.45  558  6.92  3.86  463.5  510.2   1.08   0.88  33.69  53.70 21.0  349.11     100    6139  460.1 511.2  24.1  54.3  136  0 61.39  99  0
22 001:10:29:15  520.7   0.924  49.65  -0.72  551  6.70  3.72  460.8  504.3   1.12   0.95  33.86  51.99 20.1  276.15     102    6416  460.5 505.9  25.1  52.9  124  0 62.90  99  0
22 001:10:44:24  532.8   0.846  52.46  -0.71  567  6.70  3.77  464.0  517.1   1.08   0.90  34.96  55.06 18.5  372.11     101    5990  463.6 517.2  28.5  56.0  193  0 59.31  99  0
22 001:10:59:29  595.6   1.180  56.04  -3.62  634  4.80  2.55  562.1  563.8   1.09   1.22  64.35  56.17  4.9  240.54      99    5522  523.4 558.3 108.8  62.4   72  0 55.78  99  0
