; PROGRAM=VOFLX_CR5A
; VERSION= V2.6    05-MAY-2016     
; RUN_TIME=22-Oct-14 17:17:26  
; SECTORS_SELECTED=1,2,3,5,6,7       
;
;
;
;  s/c	  Start_Year	   Start_Day	   End_Year	    End_Day	  Ave._Year	  Std._Year	   Z	   A	          E/n	      (delta)E/2	         Emin	         Emax	      Raw_Flux	     Raw_Sigma	     Alpha	    dAlpha	          Flux	         sigma	S1	S2	S3	S4	S5	S6	S7	S8	SU
;
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       0.4355	          0.0425	       0.3930	       0.4780	    7.3390E-03	    7.3390E-03	    -1.000	    -1.000	    7.3390E-03	    7.3390E-03	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       0.7140	          0.0830	       0.6310	       0.7970	    2.3081E-03	    5.4401E-04	    -1.000	    -1.000	    2.3081E-03	    5.4401E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       0.9380	          0.1410	       0.7970	       1.0790	    1.0567E-03	    2.8242E-04	    -1.000	    -1.000	    1.0567E-03	    2.8242E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       1.2355	          0.1565	       1.0790	       1.3920	    1.7001E-03	    3.4002E-04	    -1.000	    -1.000	    1.7001E-03	    3.4002E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       5.5860	          0.5930	       4.9930	       6.1790	    4.9895E-04	    3.5370E-05	    -1.000	    -1.000	    4.9895E-04	    3.5370E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       7.3600	          1.1810	       6.1790	       8.5410	    7.4152E-04	    3.0554E-05	    -1.000	    -1.000	    7.4152E-04	    3.0554E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	       9.9405	          1.3995	       8.5410	      11.3400	    1.1060E-03	    3.4278E-05	    -1.000	    -1.000	    1.1060E-03	    3.4278E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	      22.2645	          1.6535	      20.6110	      23.9180	    2.7413E-03	    5.4490E-05	    -1.000	    -1.000	    2.7413E-03	    5.4490E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	      26.7105	          2.7925	      23.9180	      29.5030	    2.2389E-03	    3.7893E-05	    -1.000	    -1.000	    2.2389E-03	    3.7893E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   1	   1	     211.5000	          0.5000	     211.0000	     212.0000	    7.1061E+00	    8.2647E-04	    -1.000	    -1.000	    7.1061E+00	    8.2647E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       0.3945	          0.1385	       0.3460	       0.5330	    7.1488E-04	    3.1971E-04	    -1.000	    -1.000	    7.1488E-04	    3.1971E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       0.6995	          0.0915	       0.6080	       0.7910	    4.5175E-04	    2.2459E-04	    -1.000	    -1.000	    4.5175E-04	    2.2459E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       1.0285	          0.2375	       0.7910	       1.2660	    1.7268E-04	    6.1881E-05	    -1.000	    -1.000	    1.7268E-04	    6.1881E-05	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       1.5870	          0.3210	       1.2660	       1.9080	    9.5466E-04	    1.2930E-04	    -1.000	    -1.000	    9.5466E-04	    1.2930E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       2.4470	          0.5390	       1.9080	       2.9860	    1.1264E-03	    1.2193E-04	    -1.000	    -1.000	    1.1264E-03	    1.2193E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       3.5605	          0.5745	       2.9860	       4.1350	    1.5339E-03	    1.4071E-04	    -1.000	    -1.000	    1.5339E-03	    1.4071E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       5.4555	          0.7925	       4.6630	       6.2480	    2.9610E-03	    1.0622E-04	    -1.000	    -1.000	    2.9610E-03	    1.0622E-04	1	1	1	0	1	1	1	0	0
     1	        1999	           1	       1999	        365	   1999.503	   1999.502	   2	   4	       7.4445	          1.1965	       6.2480	       8.6410	    2.6048E-03	    8.1085E-05	    -1.000	    -1.000	    2.6048E-03	    8.1085E-05	1	1	1	0	1	1	1	0	0
